> -L"001a"
-10.892819	-29.573354
> -L"060a"
-18.06185	-30.225829
-18.136619	-30.339296
-18.15804	-30.473468
-18.389966	-30.625022
-18.418378	-30.765997
-18.649681	-30.797239
-18.76053	-31.064366
-18.935149	-31.2922
-19.030639	-31.507449
-19.272276	-31.746151
-19.414276	-31.807014
-19.603036	-31.997061
-19.709485	-32.199917
-19.919717	-32.134877
-20.074432	-32.082052
-20.154986	-32.222279
-20.432396	-32.367488
-20.545592	-32.572995
> -L"060b"
-9.514415	-28.51344
-9.466316	-28.684419
-9.324766	-28.885776
-9.170722	-28.855851
-9.053296	-29.041634
-8.844887	-29.098561
-8.564925	-29.182201
-8.251144	-29.527865
-8.038296	-29.666058
-7.710145	-29.823584
-7.281225	-29.963824
-7.120843	-29.790083
-6.823981	-29.733628
-6.668344	-29.930994
-6.395332	-29.960922
-6.171683	-30.062985
> -L"061a"
-22.266561	-30.405969
-22.428102	-30.514985
-22.539018	-30.483117
-22.657058	-30.59345
-22.720489	-30.7197
-22.886025	-30.677094
-23.129822	-30.844966
-23.245145	-30.990019
-23.388469	-30.996182
-23.600386	-30.943427
-23.640334	-30.810704
-23.733799	-30.769683
-23.971188	-30.840506
> -L"061b"
-4.863972	-27.490453
-4.599092	-27.525768
-4.532098	-27.630993
-4.243862	-27.592954
-4.108989	-27.762084
-4.006689	-27.719144
-3.899759	-27.593259
-3.776146	-27.655137
-3.730388	-27.814475
-3.606873	-27.894514
-3.475855	-27.922861
-3.313421	-27.912842
-3.261596	-27.715478
-3.101004	-27.659937
-2.849424	-27.676634
> -L"062a"
-25.913013	-32.09102
-25.694351	-32.120474
-25.552806	-32.061455
-25.408534	-32.095197
-25.340557	-32.174307
-25.137494	-32.209557
-25.04393	-32.247154
-24.953648	-32.302774
-24.82137	-32.256999
-24.841949	-32.103904
-24.700944	-32.006813
-24.557868	-32.111551
-24.464474	-32.193354
-24.291469	-32.277593
-24.174677	-32.432728
-23.963555	-32.445873
-23.709863	-32.461198
-23.533662	-32.517432
-23.361083	-32.542498
-23.206684	-32.506434
-23.102498	-32.617667
-23.002301	-32.778345
-22.850582	-32.759987
-22.59426	-32.968511
-22.403045	-32.968706
-22.291017	-33.076809
> -L"062b"
-3.886738	-30.140801
-3.726536	-30.02212
-3.603063	-29.908358
-3.506649	-29.813694
-3.33034	-29.772736
-3.160537	-29.671244
-2.997646	-29.5919
-2.810189	-29.460409
-2.6204	-29.41889
-2.537999	-29.314453
-2.335349	-29.310414
-2.242713	-29.236087
-2.017862	-29.254591
-1.91351	-29.160241
-1.907081	-28.90993
-1.740815	-28.898029
-1.663697	-28.781703
-1.513578	-28.844364
-1.359714	-28.943219
-1.19561	-28.819166
-1.050797	-28.878718
-0.885759	-28.758054
-0.720603	-28.703546
-0.594465	-28.672255
-0.511824	-28.574104
> -L"063a"
-14.582012	-32.577953
-14.725727	-32.57585
-14.914838	-32.584485
-15.01295	-32.6395
-15.064551	-32.711588
-15.266525	-32.773844
-15.368645	-32.842094
-15.471755	-32.913455
-15.633808	-32.940183
-15.786269	-32.849716
-15.909235	-32.903483
-16.039302	-32.970163
-16.116707	-33.08548
-16.213623	-33.081271
-16.351118	-33.052656
-16.474408	-33.081489
-16.547932	-33.137026
-16.662549	-33.206306
-16.81443	-33.216158
-16.968517	-33.236836
-17.138257	-33.220095
-17.291667	-33.175998
-17.458203	-33.290526
> -L"063b"
-14.145563	-32.442905
-13.977019	-32.428195
-13.864913	-32.438448
-13.779695	-32.561759
-13.682127	-32.570191
-13.606217	-32.525629
-13.56023	-32.413318
-13.439787	-32.417806
-13.31383	-32.425304
-13.17042	-32.445918
-12.975433	-32.481954
-12.863151	-32.430765
-12.754521	-32.505248
-12.595541	-32.409523
-12.402579	-32.376363
-12.137906	-32.362703
-11.969084	-32.329017
-11.734777	-32.251061
-11.626385	-32.3207
-11.450913	-32.256752
> -L"064a"
-17.625793	-33.874629
-17.899097	-33.859287
-18.025936	-33.906318
-18.225974	-33.845361
-18.460474	-33.801688
-18.64812	-33.904624
-18.831647	-34.002266
-19.035292	-33.850805
-19.244584	-33.825236
-19.383714	-33.899082
-19.448748	-34.03178
-19.72979	-33.860979
-19.914949	-33.849597
-20.10317	-33.923339
-20.310331	-33.980823
-20.523011	-34.002695
-20.647661	-33.925852
-20.85331	-33.995663
-21.048976	-33.947845
-21.295185	-34.038726
-21.450427	-34.008769
-21.590251	-33.932496
-21.794368	-33.978189
-22.044418	-34.045518
> -L"064b"
-10.991797	-32.757873
-10.795877	-32.557591
-10.500522	-32.510994
-10.356609	-32.383389
-10.178869	-32.262691
-9.963534	-32.321208
-9.703644	-32.265772
-9.507173	-32.176736
-9.420294	-32.237018
-9.241957	-32.237864
-9.208753	-31.952705
-9.053764	-31.948752
-8.962328	-31.83424
-8.775703	-31.677224
-8.617872	-31.740631
-8.416216	-31.712441
-8.170663	-31.816517
-7.924426	-31.773616
-7.74966	-31.727133
-7.473521	-31.731781
-7.361498	-31.620354
-7.064655	-31.569083
-6.880849	-31.606458
-6.583988	-31.65965
-6.426094	-31.559828
> -L"065a"
-19.549189	-36.432643
-19.330559	-36.507799
-19.100795	-36.612769
-18.958059	-36.695665
-18.834666	-36.601187
-18.684358	-36.566306
-18.502934	-36.424449
-18.347327	-36.545572
-18.095725	-36.516066
-17.95473	-36.342117
> -L"065b"
-15.677938	-35.811903
-15.891496	-35.983115
-16.008899	-36.019442
-16.190182	-36.1704
-16.432786	-36.14731
-16.60993	-36.044481
-16.808713	-36.206751
-16.999311	-36.064779
-17.252327	-36.112086
> -L"066a"
-17.682685	-37.437059
-17.880979	-37.375996
-18.105198	-37.415104
-18.412321	-37.482306
-18.618485	-37.408136
-18.860744	-37.332756
-19.064025	-37.254436
-19.297427	-37.219276
-19.436719	-37.103379
-19.552148	-36.82401
-19.749169	-36.809424
-19.880737	-36.732555
-20.14224	-36.784223
-20.21951	-36.892395
-20.551237	-36.899857
-20.706181	-36.829424
-21.050121	-36.836687
-21.480219	-36.765402
-21.822742	-36.780351
-22.038921	-36.803772
-22.210362	-36.883216
> -L"066b"
-17.093041	-37.289555
-16.888015	-37.231527
-16.640097	-37.187608
-16.495041	-37.036308
-16.389015	-37.014322
-16.214705	-36.862714
-16.109828	-36.836579
-15.935151	-36.620139
-15.727833	-36.58357
-15.565249	-36.548869
-15.371988	-36.449288
-15.268908	-36.350188
-15.134613	-36.415363
-14.926966	-36.449644
-14.729451	-36.3724
-14.535727	-36.214821
-14.429338	-36.005577
-14.405963	-35.804723
-14.21054	-35.726617
-14.000437	-35.670036
-13.790863	-35.528447
-13.530089	-35.479053
-13.271578	-35.461693
-13.108501	-35.459388
> -L"067a"
-17.383694	-38.133854
-17.631586	-38.115502
-17.731098	-38.047219
-18.004495	-38.107167
-18.22375	-38.048304
-18.532478	-38.138991
-18.708602	-38.206371
-18.848894	-38.305553
> -L"067b"
-17.048996	-38.10794
-16.905196	-37.9786
-16.770014	-37.967948
-16.669701	-37.866028
-16.419616	-37.884837
-16.202166	-37.76717
-15.986387	-37.757663
-15.862568	-37.80803
-15.669558	-37.804213
-15.433811	-37.883558
> -L"068a"
-16.346473	-38.587062
-16.383713	-38.786176
-16.636948	-38.76875
-16.730486	-38.859907
-16.836679	-38.879195
-16.93849	-38.954767
-17.119959	-38.900374
-17.23957	-39.058633
-17.403972	-39.107565
> -L"068b"
-15.921998	-38.57643
-15.709277	-38.462678
-15.627744	-38.48174
-15.55757	-38.632273
-15.479614	-38.631327
-15.27968	-38.72176
-15.06597	-38.614798
-14.945506	-38.722404
-14.761763	-38.675507
-14.655067	-38.686776
> -L"069a"
-16.87494	-39.308211
-16.762703	-39.333902
-16.646741	-39.29584
-16.571224	-39.218819
-16.444761	-39.303092
-16.313118	-39.332038
-16.228029	-39.247965
-16.103695	-39.297617
> -L"069b"
-15.745237	-39.127914
-15.441576	-39.16211
-15.368273	-39.061355
-15.266282	-38.994606
-15.120515	-39.037824
-15.078713	-38.911751
> -L"070a"
-18.177625	-42.205234
-18.132038	-42.126664
-17.993464	-42.074271
-17.988371	-41.890172
-17.860098	-41.872921
-17.687273	-41.845696
-17.591977	-41.931646
-17.38096	-41.969348
-17.231037	-42.009675
-17.12107	-41.953132
-16.944067	-41.927253
-16.883274	-41.835035
-16.779694	-41.81036
-16.439028	-41.795925
> -L"070b"
-16.023422	-41.709179
-15.852119	-41.777121
-15.732709	-41.775656
-15.581672	-41.73889
-15.441187	-41.746303
-15.378949	-41.652883
-15.311173	-41.492504
-15.173258	-41.545943
-15.016013	-41.579705
-14.867309	-41.608505
-14.768422	-41.729554
> -L"071a"
-17.196189	-42.243506
-17.163228	-42.366868
-16.885449	-42.5467
-16.670463	-42.563462
-16.525661	-42.633364
-16.350688	-42.526921
-16.285053	-42.570845
> -L"071b"
-15.923084	-42.456895
-15.878283	-42.422536
-15.703545	-42.437528
-15.498226	-42.178266
-15.365774	-42.10007
-15.127499	-42.039248
-15.046542	-42.072282
-14.97775	-42.182862
-14.852772	-42.206466
-14.64397	-42.114173
> -L"072a"
-16.325391	-42.963455
-16.49779	-42.997796
-16.630618	-42.935094
-16.751631	-43.060978
-16.902173	-43.05877
-17.005352	-43.030747
-17.149205	-43.065534
-17.267455	-43.148328
-17.381919	-43.154745
-17.514905	-43.22174
-17.643527	-43.111187
-17.805021	-43.146691
-17.908631	-43.113708
-18.130247	-43.099259
> -L"072b"
-15.950573	-42.844301
-15.840049	-42.849483
-15.649955	-42.676886
-15.571733	-42.807888
-15.457852	-42.744673
-15.323917	-42.696005
-15.202011	-42.783893
-15.086353	-42.758146
-14.937209	-42.673409
-14.89313	-42.664103
-14.892672	-42.558224
-14.722386	-42.521485
-14.613013	-42.390035
-14.436536	-42.46222
-14.217173	-42.338241
> -L"073a"
-21.368829	-42.296475
-21.223496	-42.426979
-21.116224	-42.4327
-21.051732	-42.495301
-20.932425	-42.747921
-20.667977	-42.82211
-20.438709	-42.87384
-20.348521	-43.067445
-20.136449	-43.23468
-19.949682	-43.264219
-19.852132	-43.372356
-19.793994	-43.495317
-19.564945	-43.521307
-19.267289	-43.499347
-19.141635	-43.616989
-18.94088	-43.728721
-18.71435	-43.729066
-18.439261	-43.664384
-18.13129	-43.650769
-17.945835	-43.707637
-17.770695	-43.601359
> -L"073b"
-15.099079	-43.119614
-14.776503	-43.124981
-14.49208	-43.076245
-14.318966	-42.955474
-14.214907	-42.996829
-14.038275	-42.894387
-13.8457	-42.681704
-13.765061	-42.66774
-13.585418	-42.517755
-13.538577	-42.361369
-13.425887	-42.308273
-13.365277	-42.080523
-13.305973	-41.848998
-13.2629	-41.746863
-13.170296	-41.441283
> -L"074a"
-23.780633	-46.179994
-23.656355	-46.069591
-23.137462	-45.974954
-22.653883	-45.871855
-22.379088	-45.89022
-22.266925	-45.687579
-21.768476	-45.557129
-21.493201	-45.489682
-21.179497	-45.480249
-20.942658	-45.649383
-20.748959	-45.630461
-20.620553	-45.523856
-20.33911	-45.430368
-20.125062	-45.325313
-19.786729	-45.264727
-19.451309	-45.18807
-18.955861	-45.174641
-18.594862	-45.131576
-17.962794	-45.095352
-17.617685	-45.02755
-17.314115	-45.092314
-16.806793	-44.969036
> -L"074b"
-14.294339	-44.524252
-14.163933	-44.459859
-13.797536	-44.488643
-13.633742	-44.492808
-13.450422	-44.402553
-13.185656	-44.332054
-12.833984	-44.335136
-12.645117	-44.205888
-12.457691	-44.235759
-12.312354	-44.074939
-11.707226	-44.069934
-11.380185	-44.016585
-11.080854	-44.04628
-10.953292	-43.984201
-10.710448	-43.966
-10.417382	-44.001095
-10.104179	-44.10014
-9.887448	-44.13369
-9.83007	-44.069024
-9.649918	-44.040083
-9.372056	-44.075135
-9.097016	-44.072956
> -L"075a"
-15.420555	-45.066023
-15.54919	-45.189051
-15.643813	-45.38346
-15.753182	-45.510953
-15.962977	-45.580242
-16.085737	-45.790577
-16.313705	-45.922311
-16.395181	-46.005293
-16.658557	-46.064602
-16.653422	-46.241432
-16.941469	-46.281842
-17.063298	-46.367914
-17.103519	-46.521483
-17.158798	-46.649109
> -L"075b"
-15.060597	-45.067963
-14.8145	-45.064732
-14.717075	-45.131229
-14.401784	-45.187139
-14.269046	-45.28318
-13.978293	-45.31669
-13.736194	-45.374856
-13.640474	-45.426297
-13.388879	-45.463243
-13.237556	-45.458879
-12.948823	-45.529146
-12.871935	-45.504665
-12.681506	-45.525208
-12.532269	-45.622744
-12.327652	-45.667954
-12.14377	-45.619074
-11.930585	-45.728029
-11.856413	-45.745449
-11.79857	-45.844486
> -L"076a"
-16.440236	-46.204966
-16.253931	-46.149272
-16.040253	-46.203431
-15.780842	-46.190973
-15.584621	-46.092033
-15.163072	-45.9892
-14.953301	-46.065833
-14.740734	-45.980629
-14.456874	-45.907443
> -L"076b"
-14.064039	-45.83803
-13.789865	-45.850072
-13.601306	-45.775684
-13.332456	-45.766626
-13.134832	-45.710883
-12.753043	-45.644757
-12.590275	-45.626935
> -L"077a"
-14.07635	-46.130595
-14.276606	-46.179779
-14.44273	-46.216063
-14.48972	-46.307786
-14.654213	-46.326249
-14.830172	-46.457964
-15.011662	-46.486349
-15.137196	-46.568865
-15.172884	-46.689147
> -L"077b"
-13.582807	-46.132302
-13.512213	-46.041461
-13.307093	-45.990201
-13.209492	-46.030011
-12.984883	-46.006033
-12.868244	-46.069176
-12.653806	-46.076217
-12.573003	-46.074367
-12.520776	-46.128272
-12.307206	-46.130478
-12.194781	-46.2414
> -L"078a"
-23.236746	-47.759772
-22.770113	-47.765579
-22.625041	-47.709669
-22.326154	-47.703263
-22.173464	-47.64644
-21.867857	-47.627334
-21.473359	-47.586277
> -L"078b"
-7.937959	-45.668932
-7.670374	-45.57607
-7.488889	-45.583243
-7.228669	-45.554576
-7.039631	-45.477562
-6.828674	-45.513001
-6.720838	-45.535189
-6.587267	-45.483984
-6.315322	-45.47678
> -L"079a"
-14.910192	-49.241848
-15.40533	-49.235272
-15.705135	-49.287085
-15.964267	-49.407672
-16.147433	-49.323075
-16.308777	-49.337834
-16.502286	-49.281907
-16.709482	-49.283284
-16.944397	-49.145768
-17.151957	-49.185882
-17.474844	-49.347605
> -L"079b"
-6.227999	-47.589313
-5.972754	-47.484313
-5.897472	-47.407897
-5.691262	-47.389033
-5.576924	-47.532685
-5.38877	-47.470194
-5.33463	-47.381825
-5.142643	-47.276513
-4.998534	-47.185517
-4.93161	-47.146138
-4.749454	-46.969079
-4.553994	-46.918402
-4.313811	-46.940867
> -L"080a"
-16.072376	-50.795354
-15.938645	-50.875338
-15.749284	-50.845306
-15.555259	-50.814507
-15.300373	-50.828362
-15.067649	-50.853399
-14.900979	-50.87506
-14.731044	-50.829344
-14.407916	-50.81206
-14.341587	-50.738247
-14.135951	-50.71648
-13.896228	-50.598166
-13.597434	-50.606619
-13.333484	-50.455488
-13.096099	-50.408891
-12.775975	-50.406232
-12.554616	-50.273991
-12.236031	-50.349951
-11.872054	-50.321496
-11.544096	-50.141778
-11.463222	-49.981699
-11.17702	-49.838317
-10.843246	-49.752513
-10.695787	-49.64658
-10.486214	-49.600762
-10.162238	-49.687916
-9.880151	-49.634447
-9.645341	-49.554821
-9.528742	-49.565679
-9.3419	-49.4763
-9.137129	-49.42033
-8.842807	-49.353869
-8.593199	-49.252982
> -L"080b"
-0.771415	-47.90549
-0.90366	-48.030437
-0.993886	-48.19039
-1.140474	-48.187293
-1.324577	-48.184419
-1.498775	-48.296251
-1.787583	-48.358598
-2.037042	-48.461323
-2.252627	-48.384543
-2.470949	-48.525014
-2.820281	-48.49348
-3.065698	-48.492662
-3.160976	-48.567258
-3.369118	-48.578495
-3.4796	-48.518872
-3.710949	-48.559328
-3.800704	-48.673492
-3.97439	-48.651481
-4.118779	-48.740723
-4.3243	-48.67319
-4.40107	-48.813763
-4.568194	-48.982693
-4.778077	-49.112784
-5.005907	-48.996354
-5.230889	-48.936244
-5.399625	-48.823498
-5.606225	-48.744888
-5.922299	-48.789853
-6.147568	-48.852734
-6.433811	-48.851777
-6.616785	-48.92119
-6.965404	-49.009385
-7.368662	-49.100635
-7.475928	-49.186087
-7.836697	-49.149734
> -L"081a"
-8.154394	-49.680247
-8.403837	-49.601807
-8.665089	-49.675652
-8.896575	-49.698464
-8.97597	-49.788483
-9.15714	-49.853026
-9.290915	-49.777736
-9.415266	-49.746516
-9.56632	-49.855914
> -L"081b"
-7.843619	-49.541686
-7.738778	-49.495013
-7.688377	-49.424622
-7.511718	-49.376454
-7.353061	-49.298241
-7.212715	-49.299514
-7.130177	-49.296109
> -L"082a"
-16.096599	-51.514098
-15.745319	-51.537783
-15.45751	-51.511515
-15.057981	-51.473829
-14.570321	-51.390142
-14.114575	-51.37918
-13.794807	-51.394537
-13.56442	-51.32029
-13.284124	-51.347514
-12.863181	-51.241254
-12.498169	-51.23877
-12.222904	-51.156877
-11.882169	-51.165258
-11.797069	-51.028342
-11.423669	-50.990712
-11.158119	-50.895277
-10.94521	-50.836551
-10.577095	-50.857437
-10.280154	-50.811124
-10.13684	-50.694516
-9.883974	-50.617701
-9.619644	-50.574106
-9.526953	-50.499439
-9.374943	-50.456481
-9.013479	-50.376336
-8.596847	-50.296418
-8.434925	-50.19942
-8.164708	-50.217385
-7.957814	-50.275766
-7.62783	-50.221422
> -L"082b"
-7.044422	-50.100926
-6.781306	-50.000486
-6.449326	-49.996093
-6.187411	-49.908785
-6.041339	-49.791013
-5.923503	-49.725558
-5.689907	-49.667489
-5.502742	-49.632253
-5.280388	-49.637451
-5.00144	-49.605667
-4.711592	-49.549023
-4.514458	-49.488015
-4.176583	-49.416875
-3.788464	-49.425486
-3.342635	-49.304771
-3.072577	-49.261403
-2.732423	-49.188175
-2.540252	-49.174194
-2.255954	-49.214039
-1.974404	-49.146652
-1.666372	-49.043518
-1.225126	-48.978997
-1.046942	-48.90014
-0.832391	-48.909133
-0.531817	-48.796417
-0.343098	-48.799429
-0.170794	-48.742601
-0.057575	-48.752298
0.243526	-48.663018
0.49921	-48.614124
0.677552	-48.569143
0.727107	-48.507778
> -L"083a"
-49.350455	25.162138
-49.137257	24.998387
-49.018924	24.888099
-48.78497	24.921666
-48.546026	24.909003
-48.273671	24.838313
-48.011545	24.768064
-47.892806	24.756658
-47.659411	24.615801
> -L"083b"
-45.303578	24.210167
-45.07978	24.238943
-44.810477	24.234682
-44.478774	24.176843
-44.287542	24.253935
-43.960427	24.231944
-43.691912	24.152756
-43.474419	24.1343
-43.294648	24.065627
-43.210239	23.963458
-43.030972	24.022275
-42.774485	23.805893
> -L"084a"
-45.419664	23.216137
-45.529452	23.063535
-45.858263	23.076218
-45.951923	22.76204
-46.122649	22.776105
-46.287794	22.666209
-46.493365	22.655224
-46.68506	22.8522
-46.89662	22.855861
-47.258962	22.848009
-47.571086	22.920359
-47.772138	22.885482
-48.08071	22.927472
-48.316449	23.047571
-48.641733	23.270895
-48.792944	23.258219
> -L"084b"
-44.713237	22.993374
-44.497541	22.863004
-44.271131	22.752598
-44.18071	22.580667
-44.14228	22.379518
-43.905727	22.143691
-43.6986	22.259948
-43.364088	22.24176
-43.134783	22.06372
-42.964395	22.097224
-42.778481	21.990251
-42.532711	22.004995
-42.331548	22.033295
-42.003021	21.84585
> -L"085a"
-46.811428	17.954795
-46.967247	17.996621
-47.111554	18.066152
-47.256813	18.018514
-47.425956	18.076258
-47.589239	18.008656
-47.794151	17.916756
-47.952123	17.943375
> -L"085b"
-46.462048	17.835127
-46.262398	17.887483
-46.013743	17.7568
-45.831892	17.68693
-45.684022	17.712906
-45.480246	17.652807
-45.31503	17.656549
-45.043356	17.455957
-44.895513	17.481321
-44.757379	17.442538
> -L"086a"
-26.54643	-16.916416
-26.096691	-16.954141
-25.845439	-16.833667
-25.578154	-16.828038
-25.387411	-16.876204
-25.141206	-16.777531
-24.943976	-16.817129
-24.744111	-16.665534
-24.472879	-16.58467
-24.259672	-16.628811
-23.954402	-16.571954
-23.771689	-16.414415
-23.412551	-16.312524
> -L"086b"
-4.692916	-13.335621
-4.435453	-13.290875
-4.06836	-13.503943
-3.807308	-13.472655
-3.641549	-13.583058
-3.34787	-13.558551
-3.038081	-13.567222
-2.626538	-13.521236
-2.321913	-13.447987
-2.053714	-13.443012
-1.832592	-13.404305
-1.609763	-13.252702
-1.337879	-13.320891
> -L"087a"
-30.388153	-43.846043
-30.225451	-43.790194
-30.053718	-43.763295
-29.783932	-43.853362
-29.533534	-43.942671
-29.190842	-44.15919
-28.838635	-44.235302
-28.453926	-44.178313
-28.130515	-44.111969
-27.796855	-44.110067
-27.323267	-44.033107
-27.134854	-43.892822
-26.821099	-43.939291
-26.457983	-43.940446
-26.258689	-43.878483
-25.855966	-43.869727
> -L"087b"
-8.483909	-41.631628
-8.036487	-41.592385
-7.437461	-41.598737
-7.025376	-41.64309
-6.600314	-41.677872
-6.271512	-41.628437
-5.977618	-41.65539
-5.623287	-41.647842
-5.305035	-41.486658
-5.213863	-41.287668
-5.123302	-41.225489
-4.761944	-41.265394
-4.311146	-41.232893
> -L"088a"
-50.94259	17.133363
-51.261073	17.17985
-51.428317	17.386854
-51.696496	17.413177
-52.047553	17.349222
-52.187011	17.477574
-52.38627	17.522235
-52.590253	17.484112
-52.803765	17.686985
-53.03786	17.66385
-53.355538	17.602243
-53.66205	17.600744
-54.041222	17.62092
-54.284608	17.483308
-54.671112	17.399384
-54.832333	17.476873
-55.046888	17.437781
-55.447481	17.333692
> -L"088b"
-41.946851	15.414568
-41.77803	15.501907
-41.653645	15.406752
-41.373859	15.485315
-41.15767	15.410694
-40.940155	15.201507
-40.65834	15.287061
-40.434329	15.2098
-40.229107	15.161822
-40.161974	14.944887
-39.972295	15.042789
-39.743391	15.122903
-39.49313	15.046737
-39.306777	15.061044
-39.142419	14.887442
-39.050101	14.806527
-38.921312	14.901458
-38.669393	14.899412
-38.48094	14.853715
-38.286132	14.99951
-38.058603	14.969142
-37.908563	15.075231
-37.604376	15.16851
> -L"089a"
-52.527626	14.763275
-52.347243	14.68866
-52.024075	14.708015
-51.792198	14.785659
-51.503109	14.768738
-51.261096	14.760255
-51.101159	14.693641
-50.932726	14.777146
-50.670635	14.680462
-50.444252	14.595494
-50.219139	14.531475
-49.893191	14.458224
-49.615404	14.309983
-49.335774	14.223904
-49.138562	14.106497
-48.870061	13.94329
-48.644058	13.861636
-48.434984	13.751678
-48.216994	13.760445
-47.964647	13.651835
-47.742973	13.501891
-47.530889	13.45868
-47.268038	13.326049
-47.057929	13.39837
-46.983861	13.267481
-46.789028	13.195586
> -L"089b"
-41.038548	12.703379
-40.866294	12.788355
-40.697298	12.909539
-40.54728	12.851335
-40.289954	12.809705
-39.879794	12.821159
-39.594256	12.709634
-39.326003	12.657188
-39.009524	12.624694
-38.647222	12.602012
-38.325557	12.546327
-38.118791	12.507299
-37.784012	12.289311
-37.600261	12.20256
-37.348022	12.299776
-37.1414	12.259967
> -L"090a"
-38.763974	3.398208
-38.410191	3.311366
-38.081677	3.264309
-37.728055	3.249678
-37.464595	3.269529
-37.268337	3.32781
-37.136927	3.388187
-36.96253	3.511155
-36.815962	3.624837
-36.664049	3.666238
-36.528699	3.671848
-36.387038	3.494899
-36.295522	3.4301
-36.181602	3.503259
-36.047713	3.534741
-35.777809	3.467477
-35.585795	3.531131
-35.455841	3.568644
-35.244372	3.598985
> -L"090b"
-27.858156	3.88105
-27.653025	3.802288
-27.520282	3.772706
-27.411934	3.664105
-27.282323	3.691558
-27.159665	3.620497
-27.024525	3.697272
-26.878697	3.651949
-26.703114	3.739017
-26.531361	3.821757
-26.305985	3.821452
-26.172422	3.775366
-26.029827	3.635711
-25.818457	3.58958
-25.653767	3.495995
-25.424369	3.41801
-25.314527	3.354216
-25.144045	3.305808
-24.990476	3.346432
-24.796516	3.319606
> -L"091a"
-12.690651	-2.339733
-12.872356	-2.391893
-13.035781	-2.516668
-13.207004	-2.453621
-13.360669	-2.461912
-13.486842	-2.5307
-13.539849	-2.640383
-13.59901	-2.793605
-13.701567	-2.976643
-13.964775	-3.063513
-14.145455	-3.212353
-14.434571	-3.163423
> -L"091b"
-12.211136	-2.301012
-12.146459	-2.211769
-11.962679	-2.199784
-11.783946	-2.302316
-11.634232	-2.125411
-11.585113	-1.973323
-11.322661	-1.901826
-11.112259	-1.916468
-10.895876	-2.062912
-10.790925	-2.190252
-10.530068	-2.165674
-10.275574	-2.195958
-10.148029	-2.064353
> -L"092a"
-13.136964	-11.069553
-13.266584	-11.133276
-13.428154	-11.170872
-13.513654	-11.240974
-13.605032	-11.144953
-13.708639	-11.210823
> -L"092b"
-12.965284	-10.920957
-12.838233	-10.912341
-12.711063	-11.014656
-12.587846	-11.012143
-12.47869	-10.886012
-12.364283	-10.869622
> -L"093a"
-14.936384	-12.692246
-15.143457	-12.754233
-15.275917	-12.672984
-15.554229	-12.660857
-15.750984	-12.767483
-15.822009	-12.90428
-15.973111	-12.858416
-16.126288	-12.897204
-16.181503	-13.056732
-16.439602	-13.086568
-16.687498	-13.161313
-16.793054	-13.363067
-16.949154	-13.48612
> -L"093b"
-14.597913	-12.568928
-14.422287	-12.466079
-14.30708	-12.45061
-14.226657	-12.379657
-14.09016	-12.385644
-13.92324	-12.40575
-13.802245	-12.504847
-13.687361	-12.510297
-13.613397	-12.435327
-13.52144	-12.435388
-13.417432	-12.485449
-13.282313	-12.507206
-13.211741	-12.485685
-13.123016	-12.539171
-12.99956	-12.579336
-12.872574	-12.544687
> -L"094a"
-29.627418	41.491005
-29.899221	41.351579
-30.063598	41.297054
-30.248026	41.160947
-30.40487	41.050555
-30.549073	41.067588
-30.622583	41.190651
> -L"094b"
-27.720167	41.033997
-27.952287	40.89154
-28.105213	40.976203
-28.275425	40.930591
-28.468884	41.156304
-28.758551	41.24248
-28.938705	41.35693
> -L"Untitled Path"
-37.1546336349	34.0227366156
-36.9857506307	34.0302672225
-36.7463957655	34.0194141323
-36.5061479441	34.0660423967
-36.2930724407	34.0909943423
-36.0419667777	34.0768105278
> -L"Untitled Path"
-37.7269651065	34.1091037998
-37.8750285983	34.1767620798
-37.9937892225	34.2343597095
-38.1384249769	34.3366003314
-38.2938167465	34.4406416617
-38.5176868907	34.5124313981
-38.7157133725	34.6237024859
> -L"Untitled Path"
-42.8623045174	29.313503177
-42.6730119064	29.3294153814
-42.4581488328	29.3433063994
-42.1982033466	29.3470769009
-41.9447906215	29.3405431376
-41.8346798101	29.3163124153
-41.7694024123	29.2416501525
-41.6233792782	29.2355901336
-41.4637923622	29.2150334736
-41.2937287195	29.1541348865
-41.1780022834	29.0409214873
-41.055661378	29.0092248169
-40.9889917127	28.921893644
-40.8360855162	28.9473844655
-40.6163822382	29.0450953416
-40.4620302343	29.1207017859
> -L"Untitled Path"
-43.2124884121	29.3840527881
-43.373328494	29.4416137674
-43.527984244	29.5215622136
-43.7436564759	29.5180432352
-43.8453345739	29.6105361068
-44.0131214057	29.6206675011
-44.2057275184	29.5782267682
-44.2783867942	29.6357640666
-44.4352565624	29.6240341737
-44.5985364771	29.7136012116
-44.8405342434	29.6703429939
-45.0505329864	29.6442651843
-45.2566030914	29.6552080099
-45.3332662746	29.8511150531
-45.4414266435	29.8811933225
-45.6524950927	29.8541806004
> -L"Untitled Path"
-43.1609227036	28.8390109012
-42.9706573008	28.8323498445
-42.6895047059	28.8540230197
-42.5086915108	28.8296070827
-42.2793820945	28.8184942781
-42.1495526011	28.6697657549
-42.0484409165	28.536614059
-41.7971295037	28.500206772
> -L"Untitled Path"
-43.5090743896	28.8878990778
-43.7067875593	28.9048917527
-43.8680039177	28.9762412122
-44.0198418772	29.0215378173
-44.191336572	29.0753685661
-44.2943311309	29.1199732144
-44.4566665255	29.2097402566
-44.5975620096	29.1518429399
-44.788903139	29.1943981239
