number,l1_t,l1_s,model_height,lon,lat
mh44,346.2881,15.423801,1400,-174.1525180996591,43.38780406820769
mh45,292.52826,8.889601,2000,-174.1052955799883,44.45963788035411
mh46,176.70738,5.978299,1100,-173.1319666023304,46.29725796629842
mh47,112.16108,5.643829,900,-173.1919584261901,46.50814493198057
mh48,117.90905,4.272827,900,-172.568029633715,47.23912227291811
mh49,190.13113,6.268177,1200,-172.5561695014246,47.07936913717938
mh50,125.83965,3.8369236,900,-171.8604903279032,45.62072974305507
mh51,194.47397,6.815953,1200,-172.1433573491297,45.0824031955925
mh52,445.20203,14.201171,800,-170.8875059392709,45.57426360512029
mh53,183.74648,5.098015,900,-172.7063579854461,48.00985323765325
mh54,67.93971,2.8366587,800,-171.3928788941287,47.7551741385746
mh55,84.06841,3.1572983,400,-172.1019531002224,47.68893284475762
mh56,265.6174,10.535406,1000,-172.4045437453389,49.07226830434075
mh57,265.67966,10.762961,1000,-172.5035400642861,49.18541338307391
mh58,128.53954,5.7320805,900,-171.5808890313347,49.07631174585327
mh59,113.66576,7.808857,1100,-172.0209676247785,49.23259772914288
mh60,86.44108,3.4994385,900,-170.9257270140383,49.35469025372507
mh61,94.93092,4.8498516,1000,-174.317642575334,49.98529437316144
mh62,235.2071,10.171385,900,-176.0694096173352,43.32064802871287
mh63,303.2916,14.273701,1500,-175.8083922510116,43.22256217838657
mh64,480.24078,20.90017,1200,-174.94290397998,43.53862555374334
mh65,248.97798,6.0402684,1300,-174.7514733418406,43.74542220574564
mh66,291.19373,12.894351,1000,-174.998327903634,43.94988497585746
mh67,217.1086,10.431252,1100,-174.7851275885162,44.21395512014175
mh68,399.3388,15.134567,800,-175.4316455034844,44.18286966007086
mh69,238.28958,14.434888,1000,-175.3067225461357,43.97441176692055
mh70,311.6164,9.5456085,900,-175.1759789273875,43.84648200759483
mh71,254.1859,7.4287567,1100,-175.1520720922097,43.72792160303332
mh72,315.7033,11.733345,1300,-173.4482481359878,44.34811403063478
mh73,409.29895,14.906832,1500,-172.6509420937384,44.52369355096429
mh74,448.65988,16.46623,1400,-172.6374202040574,44.62452583839961
mh75,287.09775,14.966033,1200,-173.1612263286275,45.0757814436987
mh76,291.08875,10.706169,1200,-172.6781067971207,45.0609108192603
mh77,585.6732,13.655391,600,-173.6991107292189,52.77445299619585
mh78,548.19226,9.515666,1400,-173.9551578049406,52.76834645838278
mh79,99.43374,4.8639235,700,-174.2418181192087,53.20296974816825
mh80,432.48257,6.210902,500,-172.6149033935752,52.99165822868585
mh81,442.91208,5.976978,500,-172.9545878933628,53.14440786775333
mh82,327.18802,7.01109,1000,-173.1939252688096,53.27108456028172
mh83,163.38136,4.5663295,500,-173.3587568586989,53.31364522744077
mh84,256.20132,6.6133404,600,-173.4678207456084,53.22184276465766
mh85,272.94354,8.617614,600,-172.5735456410173,53.39641409688311
mh86,583.0337,12.311961,1200,-172.039545684877,53.47061570982504
mh87,119.38115,7.4145107,600,-171.8386675076665,53.87745211826849
mh88,89.6202,9.528467,700,-171.5115170008563,53.91344659327443
mh89,500.17334,12.651949,1000,-171.2565385614023,53.74954202209894
mh90,227.79628,12.917418,1600,-171.193352008367,54.14834816150013
mh91,537.2276,12.168026,1000,-171.020095725443,54.10287012739635
mh92,363.9631,12.492208,400,-169.6140803289886,54.33191064743946
mh93,344.80295,15.171974,1500,-168.2445056621158,52.28693141177228
mh94,652.29877,13.431386,1400,-168.0714159944822,52.1066112290933
mh95,298.80725,11.643035,700,-167.5813321007269,52.39469907600306
mh96,450.80142,7.552234,1500,-166.8419405136508,52.45847512672212
mh97,330.55844,24.598919,2100,-164.0143238392108,53.29381456754552
mh98,574.5057,16.395416,1000,-162.4006444000341,53.4966065027693
mh99,990.6968,14.407199,1500,-163.6187526173632,53.46468218233183
mh100,1116.6919,19.695978,1900,-162.8730921162096,53.62785309846874
mh101,1315.6991,18.559258,1700,-162.0041210331729,53.8949571247851
mh102,1107.8961,37.177334,1500,-161.6782013386849,53.94706097111013
mh103,881.17,29.068888,1200,-161.3908278182344,54.05104565018699
mh104,999.3088,15.95172,1000,-160.5130316873208,54.19366347682463
mh105,1073.775,12.59891,500,-160.3455552491788,54.18643807021
mh106,699.8804,17.184082,600,-159.8801357083963,54.1124133406355
mh107,987.9603,11.7042265,1100,-159.3775134190437,54.01967156436288
mh108,929.9655,11.83689,1000,-159.0911150283966,54.09174324472378
mh109,707.2381,13.733332,500,-158.7677695772564,54.40978454871626
mh110,1277.416,22.021126,2100,-158.4991050128025,54.2230367417697
mh111,673.9828,15.42657,2600,-156.8120408624137,54.86364459787643
mh112,830.5877,15.102681,900,-156.180194771909,54.84719354632622
mh113,1061.5118,21.039196,600,-156.3506985234674,54.78209901611739
mh114,1317.8787,19.032368,900,-152.6602558264267,56.15147894444475
mh115,791.19714,19.107794,700,-153.1866406883816,56.01333982813203
mh116,612.3982,16.974442,600,-150.5523173347015,56.98117267579858
mh117,743.82983,9.954666,1500,-150.2850371221587,57.02444277828409
mh118,1284.0682,28.20335,900,-150.7492379653847,56.71339854915291
mh119,17.094807,16.949184,400,-154.8447549263364,57.58669744202575
mh120,147.56561,18.960081,1800,-156.1715111565473,57.099333013722
mh121,101.46141,18.21045,1100,-156.1455858153884,57.22722823690567
mh122,57.45534,21.366999,500,-156.1019304034917,57.34497660301008
mh123,96.26577,21.694584,1400,-156.5593367025157,56.89736035495233
mh124,69.74974,17.001818,500,-156.8563174418227,56.75967864470718
mh125,61.02148,16.514906,400,-157.0357003127629,56.72672283725169
mh126,55.525547,17.073956,1500,-157.3614266038049,56.31580429637971
mh127,45.943848,14.110947,400,-157.6915568525829,56.21205884603707
mh128,36.225906,13.441068,500,-157.9941305816324,56.09708499509037
mh129,34.502518,10.730613,500,-157.7765809256434,56.10667102138277
mh130,77.754166,13.168858,1700,-159.4842027069279,55.53795657328958
mh131,53.982597,13.867135,400,-159.8411980798392,55.39763043340904
mh132,32.113667,9.903531,400,-161.2375280547177,55.06515452469437
mh133,31.036175,12.341711,400,-161.8687993780542,54.71500586693929
mh134,943.3077,19.096859,800,-162.3164372874216,53.9581852253004
mh135,34.405144,12.181127,700,-163.3526894538441,54.50847298932346
mh136,17.551353,9.8014555,400,-163.6129371423964,54.4596866208305
mh137,29.680826,11.509345,1600,-163.8350314098365,54.40673600161855
mh138,19.96762,15.996685,400,-164.6702225508145,54.23743355549077
mh139,31.068962,18.67958,400,-164.7815114271064,54.33702843102272
