lat,lon
 -19.188275°   81.295258°
 -19.446731°   81.266670°
 -20.182012°   81.191255°
 -22.736439°   77.800190°
 -23.013900°   78.011853°
 -23.517886°   78.125171°
 -23.388276°   78.911412°
 -23.060437°   79.991142°
 -23.959092°   79.623291°
 -24.322240°   79.313206°
 -25.094981°   80.290948°
 -25.424043°   80.375165°
 -24.910491°   80.994147°
 -24.865229°   82.265718°
 -25.827780°   83.400018°
 -25.942642°   83.747489°
 -26.036774°   84.103026°
 -25.883768°   81.018345°
 -25.848970°   80.800655°
 -25.961963°   80.658081°
 -26.043395°   80.578512°
 -26.098156°   80.489810°
 -26.256922°   80.346879°
 -26.396094°   80.532839°
 -26.545923°   80.496612°
 -26.619368°   79.831238°
 -26.726657°   78.921817°
 -27.292379°   78.820314°
 -27.292379°   78.820314°
 -27.595449°   79.988783°
 -27.771585°   80.306207°
 -27.292688°   78.825228°
 -27.350632°   78.762068°
 -27.532713°   78.426694°
 -27.772061°   78.839052°
 -26.098908°   81.323136°
 -24.875986°   84.030945°
 -25.044138°   84.166986°
 -25.898649°   84.292823°
 -25.790312°   84.372189°
 -25.852609°   83.812164°
 -26.507513°   81.915086°
 -30.359077°   81.471914°
 -30.944916°   82.166043°
  -1.698173°   77.744043°
  -2.226959°   76.834657°
  -2.039246°   75.619238°
  -2.557055°   75.505021°
  -7.844797°   76.085674°
  -9.171212°   76.388939°
  -8.859294°   79.930567°
  -8.733274°   79.969448°
  -7.170871°   81.732867°
  -7.609273°   82.287224°
  -5.985853°   84.218920°
  -5.847908°   84.254797°
  -5.746665°   84.283343°
  -4.933495°   84.756857°
  -5.211568°   84.679005°
  -5.422335°   84.900740°
  -6.240045°   84.819507°
  -6.443270°   84.808659°
  -6.737623°   84.802403°
  -6.994663°   84.781426°
  -7.118162°   84.465608°
  -9.152908°   83.385829°
  -9.051382°   83.431404°
  -9.738006°   83.413735°
  -9.235542°   83.710172°
  -9.441093°   83.979766°
  -9.608059°   83.866383°
 -10.105298°   84.022380°
 -10.500627°   83.665416°
 -10.654036°   83.095438°
  -8.846275°   82.663505°
  -8.622074°   81.629242°
  -8.895062°   81.566118°
  -8.764006°   81.837629°
  -8.094152°   81.602225°
