,lat,lon,cluster
0,-18.981250000000003,-110.56875,49
1,-18.97708333333334,-110.56875,49
2,-18.972916666666663,-110.58125,49
3,-18.972916666666663,-110.56875,49
4,-18.96875,-110.56875,49
5,-18.75208333333333,-112.26875,70
6,-18.75208333333333,-112.25625,70
7,-18.74791666666667,-112.27708333333334,70
8,-18.74791666666667,-112.27291666666667,70
9,-18.74791666666667,-112.26875,70
10,-18.74791666666667,-112.25625,70
11,-18.74791666666667,-112.24375,70
12,-18.73958333333333,-112.28125,70
13,-18.73958333333333,-112.27708333333334,70
14,-18.73958333333333,-112.27291666666667,70
15,-18.73958333333333,-112.26875,70
16,-18.73958333333333,-112.25625,70
17,-18.73958333333333,-112.24375,70
18,-18.73958333333333,-112.23125,15
19,-18.73958333333333,-112.22708333333334,15
20,-18.73958333333333,-112.22291666666666,15
21,-18.73958333333333,-112.21875,15
22,-18.73958333333333,-112.21458333333334,15
23,-18.73958333333333,-112.21041666666667,15
24,-18.735416666666666,-112.28125,70
25,-18.735416666666666,-112.27708333333334,70
26,-18.735416666666666,-112.27291666666667,70
27,-18.735416666666666,-112.26875,70
28,-18.735416666666666,-112.25625,70
29,-18.735416666666666,-112.24375,70
30,-18.735416666666666,-112.23125,15
31,-18.735416666666666,-112.22708333333334,15
32,-18.735416666666666,-112.22291666666666,15
33,-18.735416666666666,-112.21875,15
34,-18.735416666666666,-112.21458333333334,15
35,-18.735416666666666,-112.21041666666667,15
36,-18.735416666666666,-112.20625,15
37,-18.731250000000003,-112.28541666666666,70
38,-18.731250000000003,-112.28125,70
39,-18.731250000000003,-112.27708333333334,70
40,-18.731250000000003,-112.27291666666667,70
41,-18.731250000000003,-112.26875,70
42,-18.731250000000003,-112.25625,70
43,-18.731250000000003,-112.24375,70
44,-18.731250000000003,-112.23125,15
45,-18.731250000000003,-112.22708333333334,15
46,-18.731250000000003,-112.22291666666666,15
47,-18.731250000000003,-112.21875,15
48,-18.731250000000003,-112.21458333333334,15
49,-18.731250000000003,-112.21041666666667,15
50,-18.731250000000003,-112.20625,15
51,-18.72708333333334,-112.28541666666666,70
52,-18.72708333333334,-112.28125,70
