-16.902937	-111.614400
-17.040705	-112.248053
-17.087561	-112.044639
-17.042398	-111.708029
-17.228969	-111.310141
-17.317706	-112.891198
-17.407060	-110.821151
-17.437029	-110.643008
-17.514197	-112.501462
-17.491558	-111.848244
-17.534487	-110.915171
-17.556232	-110.836079
-17.643468	-110.530683
-17.843803	-112.778797
-17.842656	-111.421404
-17.924545	-112.832315
-17.959853	-112.785252
-17.960465	-111.136031
-18.038246	-112.719513
-18.045914	-112.658317
-18.013939	-111.970442
-18.292171	-111.717041
-18.235852	-110.911903
-18.454981	-112.456502
-18.337738	-110.769675
-18.509587	-111.211819
-18.616285	-110.683093
-18.725976	-112.237529
-18.974512	-110.577970
